film_id,nat_title,tag_id,tag_name
IT2018_001,A casa tutti bene,2211,parenthood
IT2018_001,A casa tutti bene,2241,marriage
IT2018_001,A casa tutti bene,2217,siblinghood
IT2018_001,A casa tutti bene,2221,in-laws
IT2018_001,A casa tutti bene,2331,independent home
IT2018_001,A casa tutti bene,2246,infidelity
IT2018_001,A casa tutti bene,2214,grandparenthood
IT2018_002,Benedetta follia,1121,new start
IT2018_002,Benedetta follia,2244,separation
IT2018_002,Benedetta follia,1142,reignited passion
IT2018_002,Benedetta follia,3423,lgbtqi
IT2018_002,Benedetta follia,3230,technology
IT2018_002,Benedetta follia,1141,may-december
IT2018_002,Benedetta follia,2115,substance abuse
IT2018_003,La Befana vien di notte,1202,gray face
IT2018_003,La Befana vien di notte,1132,festivities
IT2018_003,La Befana vien di notte,2437,supernatural entity
IT2018_004,Amici come prima,2231,homosociality
IT2018_004,Amici come prima,2121,caregiving
IT2018_004,Amici come prima,2426,superior-employee relationship
IT2018_004,Amici come prima,3421,gender discrimination
IT2018_005,Moschettieri del re: La Penultima Missione,2231,homosociality
IT2018_005,Moschettieri del re: La Penultima Missione,1111,last mission
IT2018_006,Loro 1,3390,professional politics
IT2018_006,Loro 1,2411,wealth
IT2018_006,Loro 1,3110,corruption
IT2018_006,Loro 1,2435,celebrity
IT2018_006,Loro 1,3330,state institutions
IT2018_006,Loro 1,2252,desire
IT2018_007,Se son rose,2234,intergenerational friendship
IT2018_008,The Leisure Seeker,1127,bucket list
IT2018_008,The Leisure Seeker,2133,suicide
IT2018_008,The Leisure Seeker,2241,marriage
IT2018_008,The Leisure Seeker,2211,parenthood
IT2018_008,The Leisure Seeker,2113,physical illness
IT2018_008,The Leisure Seeker,2111,dementia
IT2018_008,The Leisure Seeker,2312,personal memory
IT2018_008,The Leisure Seeker,1123,search for meaning
IT2018_009,Il vegetale,2213,fatherhood
IT2018_009,Il vegetale,2113,physical illness
IT2018_009,Il vegetale,2125,hospital
IT2018_010,Metti la nonna in freezer,2131,natural death
IT2018_010,Metti la nonna in freezer,2425,retirement
IT2018_010,Metti la nonna in freezer,3120,fraud
IT2018_010,Metti la nonna in freezer,2215,grandmotherhood
IT2018_011,Ti presento Sofia,2213,fatherhood
IT2018_011,Ti presento Sofia,2216,grandfatherhood
IT2018_012,Dogman,2212,motherhood
IT2018_012,Dogman,3150,crime
IT2018_013,Loro 2,3390,professional politics
IT2018_013,Loro 2,2411,wealth
IT2018_013,Loro 2,3110,corruption
IT2018_013,Loro 2,2435,celebrity
IT2018_013,Loro 2,3330,state institutions
IT2018_013,Loro 2,2252,desire
IT2018_014,Puoi baciare lo sposo,3423,lgbtqi
IT2018_014,Puoi baciare lo sposo,2211,parenthood
IT2018_014,Puoi baciare lo sposo,2221,in-laws
IT2018_014,Puoi baciare lo sposo,2241,marriage
IT2018_014,Puoi baciare lo sposo,1126,wedding
IT2018_015,Sono tornato,2311,cultural memory
IT2018_015,Sono tornato,2314,collective trauma
IT2018_015,Sono tornato,2313,personal trauma
IT2018_015,Sono tornato,3290,power
IT2018_015,Sono tornato,3310,national identity
IT2018_016,Una festa esagerata,1132,festivities
IT2018_016,Una festa esagerata,2213,fatherhood
IT2018_016,Una festa esagerata,3320,regional identity
IT2018_016,Una festa esagerata,2241,marriage
IT2018_017,Il testimone invisibile,3150,crime
IT2018_017,Il testimone invisibile,3330,state institutions
IT2018_017,Il testimone invisibile,1113,revenge
IT2018_018,Arrivano i prof,2436,education
IT2018_018,Arrivano i prof,2238,intergenerational conflict
IT2018_019,Io sono Tempesta,2234,intergenerational friendship
IT2018_019,Io sono Tempesta,2231,homosociality
IT2018_019,Io sono Tempesta,3411,class conflict
IT2018_019,Io sono Tempesta,2411,wealth
IT2018_019,Io sono Tempesta,3150,crime
IT2018_019,Io sono Tempesta,1121,new start
IT2018_019,Io sono Tempesta,2421,high rank employment
IT2018_020,Euforia,2212,motherhood
IT2018_021,Il vizio della speranza,3140,organized crime
IT2018_021,Il vizio della speranza,3422,women empowerment
IT2018_021,Il vizio della speranza,2426,superior-employee relationship
IT2018_021,Il vizio della speranza,2342,migration
IT2018_022,Io c'è,3260,spirituality
IT2018_022,Io c'è,3120,fraud
IT2018_022,Io c'è,3250,religion
IT2018_023,Il ragazzo invisibile: Seconda generazione,2437,supernatural entity
IT2018_024,Notti magiche,2311,cultural memory
IT2018_024,Notti magiche,2433,artistic creation
IT2018_024,Notti magiche,3150,crime
IT2018_025,Finalmente sposi,2212,motherhood
IT2018_025,Finalmente sposi,1126,wedding
IT2018_025,Finalmente sposi,3320,regional identity
IT2018_025,Finalmente sposi,2342,migration
IT2018_026,Sconnessi,3230,technology
IT2018_026,Sconnessi,2433,artistic creation
IT2018_026,Sconnessi,2222,extended family
IT2018_027,La fuitina sbagliata,3320,regional identity
IT2018_027,La fuitina sbagliata,1126,wedding
IT2018_027,La fuitina sbagliata,2211,parenthood
IT2018_028,Una storia senza nome,2433,artistic creation
IT2018_028,Una storia senza nome,3140,organized crime
IT2018_029,Uno di famiglia,3140,organized crime
IT2018_029,Uno di famiglia,2213,fatherhood
IT2018_030,Cosa fai a Capodanno?,2251,sex
IT2018_030,Cosa fai a Capodanno?,2252,desire
IT2018_030,Cosa fai a Capodanno?,1141,may-december
IT2018_030,Cosa fai a Capodanno?,1132,festivities
IT2018_031,Michelangelo - Infinito,2433,artistic creation
IT2018_032,Ricchi di fantasia,1121,new start
IT2018_032,Ricchi di fantasia,2213,fatherhood
